Município,Área (km²),UF,Região,Microrregião,Lat,Lng,Location,Color,https://www.geosheets.com/map/s:V64O1lbZ/mapa-GO
Palmelo,59,GO,Sul,Pires do Rio,-17.32,-48.42,"-17.32,-48.42",gold,
Palminópolis,388,GO,Sul,Vale do Rio dos Bois,-16.79,-50.16,"-16.79,-50.16",gold,
Panamá,434,GO,Sul,Meia Ponte,-18.17,-49.35,"-18.17,-49.35",gold,
Paranaiguara,"1,154",GO,Sul,Quirinópolis,-18.91,-50.65,"-18.91,-50.65",gold,
Paraúna,781,GO,Sul,Vale do Rio dos Bois,-16.94,-50.44,"-16.94,-50.44",gold,
Perolândia,"1,030",GO,Sul,Sudoeste de Goiás,-17.52,-52.06,"-17.52,-52.06",gold,
Petrolina de Goiás,540,GO,Centro,Anápolis,-16.09,-49.33,"-16.09,-49.33",red,
Pilar de Goiás,907,GO,Centro,Ceres,-14.76,-49.57,"-14.76,-49.57",red,
Piracanjuba,"2,405",GO,Sul,Meia Ponte,-17.3,-49.01,"-17.3,-49.01",gold,
Piranhas,"2,048",GO,Noroeste,Aragarças,-16.42,-51.82,"-16.42,-51.82",blue,
Pirenópolis,"2,228",GO,Leste,Entorno do Distrito Federal,-15.85,-48.95,"-15.85,-48.95",purple,
Pires do Rio,"1,073",GO,Sul,Pires do Rio,-17.3,-48.28,"-17.3,-48.28",gold,
Planaltina,"2,544",GO,Leste,Entorno do Distrito Federal,-15.45,-47.61,"-15.45,-47.61",purple,
Pontalina,"1,428",GO,Sul,Meia Ponte,-17.52,-49.44,"-17.52,-49.44",gold,
Porangatu,"4,820",GO,Norte,Porangatu,-13.44,-49.14,"-13.44,-49.14",orange,
Porteirão,604,GO,Sul,Meia Ponte,-17.81,-50.16,"-17.81,-50.16",gold,
Portelândia,551,GO,Sul,Sudoeste de Goiás,-17.35,-52.67,"-17.35,-52.67",gold,
Posse,"1,950",GO,Leste,Vão do Paranã,-14.09,-46.36,"-14.09,-46.36",purple,
Professor Jamil,347,GO,Sul,Meia Ponte,-17.25,-49.24,"-17.25,-49.24",gold,
Quirinópolis,"3,780",GO,Sul,Quirinópolis,-18.44,-50.45,"-18.44,-50.45",gold,
Rialma,269,GO,Centro,Ceres,-15.31,-49.58,"-15.31,-49.58",red,
Rianápolis,159,GO,Centro,Ceres,-15.44,-49.51,"-15.44,-49.51",red,
Rio Quente,257,GO,Sul,Meia Ponte,-17.77,-48.77,"-17.77,-48.77",gold,
Rio Verde,"8,388",GO,Sul,Sudoeste de Goiás,-17.79,-50.92,"-17.79,-50.92",gold,
Rubiataba,748,GO,Centro,Ceres,-15.16,-49.8,"-15.16,-49.8",red,
Sanclerlândia,497,GO,Centro,Anicuns,-16.19,-50.31,"-16.19,-50.31",red,
Santa Bárbara de Goiás,140,GO,Centro,Anicuns,-16.57,-49.69,"-16.57,-49.69",red,
Santa Cruz de Goiás,"1,305",GO,Sul,Pires do Rio,-17.31,-48.48,"-17.31,-48.48",gold,
Santa Fé de Goiás,"1,161",GO,Noroeste,Rio Vermelho,-15.76,-51.1,"-15.76,-51.1",blue,
Santa Helena de Goiás,"1,128",GO,Sul,Sudoeste de Goiás,-17.81,-50.59,"-17.81,-50.59",gold,
Santa Isabel,807,GO,Centro,Ceres,-15.29,-49.42,"-15.29,-49.42",red,
Santa Rita do Araguaia,"1,362",GO,Sul,Sudoeste de Goiás,-17.32,-53.2,"-17.32,-53.2",gold,
Santa Rita do Novo Destino,956,GO,Centro,Ceres,-15.13,-49.12,"-15.13,-49.12",red,
Santa Rosa de Goiás,171,GO,Centro,Anápolis,-16.08,-49.49,"-16.08,-49.49",red,
Santa Tereza de Goiás,795,GO,Norte,Porangatu,-13.71,-49.01,"-13.71,-49.01",orange,
Santa Terezinha de Goiás,"1,202",GO,Norte,Porangatu,-14.43,-49.7,"-14.43,-49.7",orange,
Santo Antônio da Barra,452,GO,Sul,Sudoeste de Goiás,-17.56,-50.63,"-17.56,-50.63",gold,
Santo Antônio de Goiás,133,GO,Centro,Goiânia,-16.48,-49.31,"-16.48,-49.31",red,
Santo Antônio do Descoberto,938,GO,Leste,Entorno do Distrito Federal,-15.94,-48.25,"-15.94,-48.25",purple,
São Domingos,"3,296",GO,Norte,Vão do Paranã,-13.39,-46.31,"-13.39,-46.31",orange,
São Francisco de Goiás,416,GO,Centro,Anápolis,-15.93,-49.26,"-15.93,-49.26",red,
São João da Paraúna,305,GO,Sul,Vale do Rio dos Bois,-16.81,-50.41,"-16.81,-50.41",gold,
São João d'Aliança,"3,327",GO,Leste,Chapada dos Veadeiros,-14.7,-47.52,"-14.7,-47.52",purple,
São Luís de Montes Belos,826,GO,Centro,Anicuns,-16.52,-50.37,"-16.52,-50.37",red,
São Luíz do Norte,586,GO,Centro,Ceres,-14.86,-49.32,"-14.86,-49.32",red,
São Miguel do Araguaia,"6,144",GO,Norte,São Miguel do Araguaia,-13.27,-50.16,"-13.27,-50.16",orange,
São Miguel do Passa-Quatro,538,GO,Sul,Pires do Rio,-17.05,-48.66,"-17.05,-48.66",gold,
São Patrício,135,GO,Centro,Ceres,-15.35,-49.81,"-15.35,-49.81",red,
São Simão,414,GO,Sul,Quirinópolis,-18.99,-50.54,"-18.99,-50.54",gold,
Senador Canedo,245,GO,Centro,Goiânia,-16.7,-49.09,"-16.7,-49.09",red,
Serranópolis,"5,527",GO,Sul,Sudoeste de Goiás,-18.3,-51.96,"-18.3,-51.96",gold,
Silvânia,"2,265",GO,Sul,Pires do Rio,-16.65,-48.6,"-16.65,-48.6",gold,
Simolândia,348,GO,Leste,Vão do Paranã,-14.47,-46.48,"-14.47,-46.48",purple,
Sítio d'Abadia,"1,598",GO,Leste,Vão do Paranã,-14.8,-46.25,"-14.8,-46.25",purple,
Taquaral de Goiás,201,GO,Centro,Anápolis,-16.05,-49.6,"-16.05,-49.6",red,
Teresina de Goiás,775,GO,Norte,Chapada dos Veadeiros,-13.77,-47.26,"-13.77,-47.26",orange,
Terezópolis de Goiás,107,GO,Centro,Goiânia,-16.39,-49.08,"-16.39,-49.08",red,
Três Ranchos,282,GO,Sul,Catalão,-18.35,-47.78,"-18.35,-47.78",gold,
Trindade,753,GO,Centro,Goiânia,-16.64,-49.48,"-16.64,-49.48",red,
Trombas,799,GO,Norte,Porangatu,-13.5,-48.74,"-13.5,-48.74",orange,
Turvânia,172,GO,Centro,Anicuns,-16.61,-50.13,"-16.61,-50.13",red,
Turvelândia,934,GO,Sul,Vale do Rio dos Bois,-17.85,-50.3,"-17.85,-50.3",gold,
Uirapuru,"1,153",GO,Noroeste,São Miguel do Araguaia,-14.28,-49.92,"-14.28,-49.92",blue,
Uruaçu,"2,142",GO,Norte,Porangatu,-14.52,-49.14,"-14.52,-49.14",orange,
Uruana,523,GO,Centro,Ceres,-15.49,-49.68,"-15.49,-49.68",red,
Urutaí,627,GO,Sul,Pires do Rio,-17.46,-48.2,"-17.46,-48.2",gold,
Valparaíso de Goiás,60,GO,Leste,Entorno do Distrito Federal,-16.06,-47.97,"-16.06,-47.97",purple,
Varjão,519,GO,Sul,Vale do Rio dos Bois,-17.04,-49.63,"-17.04,-49.63",gold,
Vianópolis,954,GO,Sul,Vale do Rio dos Bois,-16.74,-48.51,"-16.74,-48.51",gold,
Vicentinópolis,737,GO,Sul,Meia Ponte,-17.73,-49.8,"-17.73,-49.8",gold,
Vila Boa,160,GO,Leste,Entorno do Distrito Federal,-15.03,-47.05,"-15.03,-47.05",purple,
Vila Propício,"2,182",GO,Leste,Entorno do Distrito Federal,-15.45,-48.88,"-15.45,-48.88",purple,
